id,start,stop,event,isWarm,latitude,longitude,temperature,windSpeed,pressure,humidity,visibility,nebulosity,cloudHeight,moonPhase
463,  0,164,0,1,49.00,7.55,25.3, 2.0, 99140.0, 52.0,15000.0, 60.0,1250.0,  3.0
463,164,165,1,1,49.00,7.55,28.8, 3.0, 98790.0, 48.0,20000.0, 90.0,1250.0,  0.0
464,  0,205,0,1,49.00,7.75,20.5, 3.0, 99680.0, 79.0,38050.0,, 800.0,  1.0
464,205,206,1,1,49.00,7.75,23.1, 2.0, 99890.0, 66.0,37060.0, 90.0,3300.0,  3.0
465,  0, -7,0,1,49.00,7.95,13.6, 3.0,100630.0, 65.0,20800.0,,,
465, -7, 14,1,1,49.00,7.95, 4.5, 4.0, 99060.0, 67.0,38160.0, 90.0,3480.0, 35.0
466,  0, 34,1,0,49.00,7.95,10.3, 4.0, 99000.0, 82.0,45310.0,100.0,1250.0, 23.0
467,  0, 49,1,0,49.00,7.95, 1.1, 2.0,100870.0, 91.0, 5310.0,100.0, 150.0,  0.0
468,  0, 46,1,0,49.00,7.95, 9.2, 1.0,101450.0, 62.0,10020.0,,, 56.0
469,  0, 64,1,0,49.00,7.95, 9.1, 3.0, 99660.0, 65.0,30990.0, 75.0,1250.0, 77.0
470,  0, 42,1,0,49.00,7.95,-3.8, 3.0,100910.0, 65.0,10360.0,,,  6.0
471,  0, 68,1,0,49.00,7.95,10.7, 1.0,100600.0, 35.0,11840.0,,, 47.0
472,  0, -6,0,1,49.00,7.95,14.5, 3.0, 99690.0, 77.0,21020.0,,5580.0,
472, -6, 10,1,1,49.00,7.95, 8.4, 3.0,100660.0, 69.0,22880.0,,1250.0, 84.0
473,  0, 56,1,0,49.00,7.95,10.7, 5.0, 98650.0, 54.0,48840.0,,1250.0,100.0
474,  0, 52,1,0,49.00,7.95,15.7, 4.0,100450.0, 62.0,13400.0,, 250.0, 64.0
475,  0,195,0,1,49.00,7.95,18.7, 4.0,100090.0, 46.0,40000.0,100.0,1750.0,100.0
475,195,196,1,1,49.00,7.95,19.8, 3.0,100330.0, 50.0,50000.0,,1250.0, 98.0
477,  0, 63,1,0,49.00,7.95, 7.1, 1.0,100030.0, 61.0, 9000.0,,, 41.0
478,  0,  9,1,0,49.00,7.95,13.4, 5.0, 99460.0, 58.0,45000.0,,, 71.0
479,  0, 27,1,0,49.00,7.95, 5.3, 4.0,100680.0, 71.0,42610.0, 90.0,, 63.0
484,  0,116,0,1,49.00,8.15,16.1, 5.0, 99860.0, 66.0,30000.0, 90.0, 800.0, 93.0
484,116,121,1,1,49.00,8.15,28.5, 2.0, 99480.0, 25.0,40000.0, 10.0,1750.0, 34.0
486,  0, 53,1,0,49.00,8.15,14.0, 5.0,101030.0, 68.0,19000.0, 90.0,1250.0,100.0
487,  0,152,0,1,49.00,8.15,22.6, 8.0, 99970.0, 47.0,20000.0, 60.0,1250.0, 66.0
487,152,153,1,1,49.00,8.15,25.2, 3.0, 99890.0, 38.0,20000.0, 40.0,1750.0, 75.0
488,  0,120,0,1,49.00,8.15,16.1, 3.0, 99560.0, 86.0,20000.0, 90.0, 800.0, 96.0
488,120,121,1,1,49.00,8.15,17.0, 1.0, 99360.0, 62.0,20000.0, 90.0, 800.0, 84.0
489,  0, 55,1,0,49.00,8.15, 3.5, 3.0,100760.0, 85.0, 4600.0,100.0, 450.0, 76.0
490,  0,  2,1,0,49.00,8.15,10.1, 6.0, 99470.0, 72.0,60000.0,100.0, 800.0, 67.0
