 48.254704   7.756344  1  7 2019
 48.245800   7.433900  1  5 2017
 47.969175   7.974035 21  7 2024
 48.191803   7.327908  5  8 2023
 48.958020   8.232392 26  5 2025
 48.194021   7.322524 12  7 2014
 48.082279   7.802052 29  7 2023
 48.244539   7.454496 14  5 2015
 49.097811   8.115464 22  7 2024
 48.784413   6.759932 10  5 2019
 48.073170   7.808952 21  5 2023
 48.637176   7.727012  5  5 2025
 48.140219   7.259745  1  5 2019
 48.758573   6.849361 28  5 2015
 48.233221   7.403983 23  7 2025
 48.270376   8.428069 17  8 2025
 47.328678   8.363826 29  9 2024
 48.527283   7.926078  3  8 2025
 48.127357   7.999035 20  6 2023
 48.194766   7.364120 19  6 2025
 47.504902   7.762314 20  7 2024
 48.179608   7.322065 15  4 2019
 48.547691   7.948680  3  8 2025
 49.155769   8.564957 21  7 2024
 48.199586   8.110808 23  7 2024
 48.640048   7.822841  9  5 2024
 48.291027   7.364420 24  7 2025
 47.955417   7.296830  8  6 2023
 48.961679   6.655256 22  7 2025
 48.082119   7.802305 18  8 2023
 48.232395   7.403237 28  7 2024
 48.251200   7.411800  3  4 2016
 48.088675   8.082240  5  8 2018
 48.194930   7.317581 25  6 2005
 48.396461   7.842104 22  7 2023
 48.406400   7.862500  3  5 2016
 49.192747   8.251569 23  4 2024
 47.955939   7.293599 29  3 2022
 48.180298   7.323239 12  7 2014
 48.193628   7.337033  2  8 2024
 49.136412   8.572094 15  5 2025
 48.148901   7.249807 26 12 2013
 48.011545   7.807535  9  4 2023
 48.051662   7.219120 15  6 2025
 48.079001   7.108848 15  8 2017
 48.234238   7.730779 13 10 2019
 47.329805   8.344864 21  7 2015
 48.079624   7.352318  3  7 2020
 48.204937   7.365116 21  6 2018
 48.081900   7.267000  3  5 2017
 48.598370   7.619116 31  8 2023
 49.262968   7.318790 19  3 2022
 48.696000   6.996000 24  7 2018
 48.546501   7.889420 26  6 2025
 48.041878   7.304686  1  8 2024
 48.212231   7.746137 21  7 2019
 48.440650   7.784889 19  4 2025
 47.997044   7.840719  3  6 2009
 48.253787   7.811825  7  3 2022
 47.968074   7.199264 23  7 2022
 48.291172   7.702256 20  4 2019
 48.302773   7.669081 29  7 2020
 47.992800   7.293900 29  4 2017
 48.759934   7.362998 13  7 2024
 48.799316   6.747941 27  6 2024
 48.042980   7.305872 19  8 2024
 48.592289   7.775933  3  5 2019
 48.041078   7.142744 24  5 2003
 49.261993   8.514590  6  7 2025
 49.260884   8.519758  2  7 2025
 48.600010   7.987730  2  8 2020
 48.096470   7.382269 30  8 2020
 48.249176   7.407470 11  7 2009
 48.040342   7.138511  6  8 2024
 48.607605   7.996360 26  6 2025
 48.657272   6.928693 16  7 2018
 48.611290   8.001091 28  6 2025
 47.957439   7.295418  7  6 2024
 47.987657   7.972037 22  7 2025
 48.770636   6.733293  4  8 2019
 47.503323   7.762507 27  7 2024
 48.015950   7.778028 25  5 2025
 48.077129   7.357853 10  4 2023
 48.518385   7.916711 15  9 2017
 48.084493   7.272209 22  6 2021
 49.205176   7.429227  9  5 2021
 48.042058   7.300862 28  4 2024
 48.227467   7.406058 21  4 2025
 49.165828   8.536041  6  4 2023
 47.805546   7.172545 18  5 2023
 48.246627   7.456896  7  8 2021
 48.600539   7.985585 25  7 2020
 48.602818   7.987313 30  4 2022
 48.549912   7.552634 24  7 2022
 48.333909   7.499039 10  4 2023
 49.258015   8.150963 21  5 2023
 48.140720   7.258752 10  6 2025
 47.588105   7.735748  8  7 2023
 48.040406   7.136606 22  8 2022
 48.986362   6.644948 11  5 2024
 48.232910   7.403614 23  8 2024
 48.522621   7.918515 28  7 2019
 48.599663   7.620700 22  7 2024
 47.988965   7.293731  1  6 2025
 48.402649   7.855818 17  7 2022
 48.267208   7.730669  6  8 2023
 48.233338   7.403771 22  3 2025
 47.861996   7.209915  2  8 2019
 48.162529   7.334190 21  7 2024
 47.541954   6.949733 13  7 2025
 48.234056   7.405736 12  8 2022
 48.078124   7.806117 23  2 2018
 48.232605   7.403867 29  6 2019
 48.234013   7.405863 14  8 2025
 48.336397   8.022594 15  7 2024
 47.836618   7.394834 19  8 2025
 48.586648   8.014008 17  7 2022
 48.440331   7.864394 10  3 2017
 47.801857   7.379156 16  7 2023
 48.232439   7.403828 20  7 2022
 47.955708   7.298948 20  4 2014
 48.085700   7.275500  1  4 2017
 48.002449   7.777852 30  4 2023
 47.590417   7.854065  4  8 2024
 48.190573   7.324307  4  6 2022
 47.949026   7.303660 29  3 2022
 48.135388   7.296070 25  7 2013
 47.553883   7.590129 20  7 2023
 48.040423   7.136633 22  8 2022
 48.082625   7.801822 19  6 2020
 48.079357   7.358512 22  7 2017
 47.853856   7.619169 27  6 2025
 48.916891   8.146029 15  6 2017
 48.234097   7.405430 29  8 2025
 48.139915   7.260614  1  7 2023
 48.232876   7.405305  1  7 2023
 48.079723   7.804089 29  7 2023
 48.232278   7.402875 14  7 2023
 48.084114   7.271212  7 10 2023
 48.603516   7.991448 15  5 2023
 48.236519   7.757539  2  4 2023
 48.166139   8.064768 10  8 2018
 48.760000   7.550000  3  8 2023
 48.078337   7.805223 19  6 2020
 47.974003   7.372678  7  6 2022
 47.714951   7.011361 24  7 2024
 48.917900   8.147500 13  9 2019
 48.042924   7.305807  2  8 2018
 48.798858   6.747922 20  7 2021
 48.127441   7.828278  4  7 2023
 47.852356   7.287051 22  7 2025
 47.655490   7.625046 18  7 2024
 48.615330   8.006810 29  7 2023
 48.085760   7.276486 31  7 2018
 48.247711   7.450741 24  7 2025
 48.077125   7.358212  7  9 2024
 48.233397   7.405431 14  6 2025
 48.620918   7.475481 16  2 2024
 48.567661   7.958977  9  9 2019
 48.102435   7.761981  7  4 2024
 48.645245   8.028056  8  7 2023
 48.086528   7.801110 19  1 2025
 49.285405   8.488713 18  5 2025
 47.961716   7.306376 29  4 2017
 48.045585   7.309334 12  7 2024
 48.547840   7.516680 10 10 2021
 49.183659   8.533265 11  7 2020
 48.256264   7.415010  8  3 2025
 47.956940   7.300695  8  6 2023
 48.231936   7.404181 29  7 2024
 48.180109   7.322345 21  7 2007
 48.821330   7.408863 30  7 2020
 48.637173   7.382674 24  7 2022
 48.141325   7.703095  3  4 2010
 48.332887   7.498603 21  7 2023
 47.895432   7.373439 19  7 2017
 48.178776   7.749195 21  5 2023
 47.321144   8.378435 18  9 2022
 48.001691   7.075572 16  7 2019
 47.489198   8.467459 16  3 2012
 48.138962   7.261954  2  5 2019
 48.798035   6.747678  3  7 2019
 48.257101   7.419894  1  5 2023
 48.192043   7.333623  5  7 2023
 48.591137   7.774067 22  7 2023
 48.042229   7.306530  1  8 2024
 48.032662   7.655093  5  9 2025
 48.198050   7.674896 12  6 2024
 49.267395   7.299293 24  7 2024
 47.879263   7.208253 30  4 2017
 48.071808   7.809687 21  5 2023
 48.043919   7.779509 28  5 2023
 48.342353   7.503388 15  7 2023
 48.078204   7.807534 21  5 2023
 48.461840   7.483514 21  5 2024
 48.448650   7.964063 19  7 2023
 48.592497   7.776250 16  5 2025
 48.262734   7.418679  8  7 2018
 49.161951   8.535615 21  8 2025
 47.871504   8.012750  9  7 2022
 48.541027   7.894865 30  5 2024
 48.266153   7.721630  1  8 2025
 48.232102   7.404217 22  7 2015
 48.307648   8.056909 14  7 2023
 48.396177   7.441674 24  6 2024
 48.495594   7.927424 27  6 2025
 48.232188   7.404275  2  8 2021
 48.561736   7.500964 27  7 2025
 48.559921   7.955419 21  5 2023
 48.246596   7.457727 28  7 2014
 48.497011   7.794322 25  8 2021
 48.739318   6.814603 15  6 2015
 48.085423   7.267387  3  8 2018
 48.226543   7.740229  1  7 2023
 48.185524   7.747461 10  7 2023
 48.180821   7.314979  2  8 2022
 48.137746   7.260678 24  3 2017
 48.341265   7.416185 22  6 2024
 48.189632   7.351735 28  7 2018
 47.865768   7.287348  4  8 2024
 48.631363   7.837653  7  6 2018
 48.097352   8.062470 28  8 2016
 48.268334   7.523405 20  3 2024
 47.964820   7.270002 25  8 2019
