dataset_doi	dataset_key	dataset_title	dataset_citation	number_records
10.15468/mw39rb	427a6290-0c65-11dd-84d2-b8a03c50a862	Lund University Biological Museum - Zoological collections (MZLU)	Ekström J (2025). Lund University Biological Museum - Zoological collections (MZLU). Version 353.499. Lund University Biological Museum. Occurrence dataset. https://www.gbif.se/ipt/resource?r=mzlu&v=353.499	219
10.15468/g2ptuw	6cbf7d4d-13cb-4604-8668-db68fe753349	Données d'occurrences issues des Formulaires standards de données des sites Natura 2000 - Données d'occurrence Espèces issues de la base Natura 2000 : espèces d'intérêt communautaire et autres espèces remarquables renseignées dans les FSD		218
10.15468/hmqxgv	95f572da-a3a9-4706-bccb-03521079a520	Birds of Northern Eurasia	RRRCN (2018): Birds of Northern Eurasia. v1. Sibecocenter LLC. Dataset/Occurrence. http://gbif.ru:8080/ipt/resource?r=russiabirds&amp;v=1.0	213
10.15468/2wgzwe	7247dc2e-b862-4555-b533-7701d183271b	Programme d'observation naturaliste participative avec l'application mobile INPN Espèces - Application INPN Espèces: Observations naturalistes, participatives et opportunistes, fondées sur des photographies	Inventaire National du Patrimoine Naturel N (2022). Programme d'observation naturaliste participative avec l'application mobile INPN Espèces - Application INPN Espèces: Observations naturalistes, participatives et opportunistes, fondées sur des photographies. Version 1.1. UMS PatriNat (OFB-CNRS-MNHN), Paris. Occurrence dataset https://doi.org/10.15468/2wgzwe accessed via GBIF.org on 2022-12-15.	209
10.15468/he8gcx	773c3269-79c6-4010-9295-04c179f333ab	2014_CEN PACA_1		207
10.15468/5qj25r	e66499bc-31e3-4669-947b-854959d66bdb	Visiolittoral : Base de données de la communauté de travail du Conservatoire du littoral-Agrégat de données naturalistes des sites CELRL en Charente-Maritime		204
10.15468/muqpv7	ae6a338e-0352-4f6e-955d-92c715d0f12c	Observations aléatoires des espaces protégés de la LPO France et de l'OFB - Observations aléatoires | Marais Estuairien de Rochefort		202
10.15468/yta7zj	71d58564-f762-11e1-a439-00145eb45e9a	Museu de Ciències Naturals de Barcelona: MCNB-Cord	Colección de Cordados, MCNB	198
10.15468/ar7tmt	2c2d73bf-44a6-40c6-8d1b-34b1715a19b8	Visiolittoral : Base de données de la communauté de travail du Conservatoire du littoral-Agrégat de données naturalistes d'une réserve naturelle		193
10.15468/8aufmc	b129f319-5591-420c-a517-faaeff052939	Parc naturel régional du Marais poitevin-Comptage mensuel des oiseaux		191
10.15468/dvn59w	a4a74db9-fe84-40f3-8782-e4940416076a	2015_CEN PACA_1		180
10.15468/qv0ksn	b1047888-ae52-4179-9dd5-5448ea342a24	Xeno-canto - Bird sounds from around the world		177
10.15468/hymhzs	c278b645-f229-4319-9676-895577eba6ce	Waterbird Census in Portugal	Encarnação V, Coelho P (2021): Waterbird Census in Portugal. v1.1. ICNF - Instituto da Conservação da Natureza e das Florestas. Dataset/Samplingevent. http://ipt.gbif.pt/ipt/resource?r=cont_aquaticas_pontos&amp;v=1.1	175
10.15468/nbw59h	0f7e29bc-a295-49fb-9b7c-08ed9f34cacc	Animation technique des sites Natura 2000 ‘Barthes de l'Adour’-Suivis des ardéidés 2013 - Site Natura 2000 des Barthes de l'Adour		171
10.15468/dxmzbz	889c91a3-614f-4355-8df8-b6d0260a118c	Naturalis Biodiversity Center (NL) - Aves		166
10.15468/zmt6nr	e2544278-4e9d-4c3f-8b44-a05fa07488c6	2019_CEN PACA_1		166
10.15468/99f2rv	f394591b-8489-421d-85cb-31afb11c0d75	Records of birds from Mykolaiv administrative region of Ukraine according to some literature resources	Vasyliuk O, Marushchak A, Marushchak O (2023). Records of birds from Mykolaiv administrative region of Ukraine according to some literature resources. Version 1.1. Ukrainian Nature Conservation Group (NGO). Occurrence dataset. https://ukraine.ipt.gbif.no/resource?r=mykolaivbirds1&v=1.1	163
